"Altitude", "TempKelvin", "Pressure"
17.525,602.5,2.374E+01,0.9936
17.306,604.3,2.407E+01,0.9937
17.063,606.1,2.444E+01,0.9938
16.833,607.8,2.480E+01,0.9939
16.606,609.5,2.516E+01,0.9940
16.405,611.0,2.548E+01,0.9941
16.162,612.6,2.589E+01,0.9943
15.944,614.2,2.624E+01,0.9944
15.709,615.8,2.664E+01,0.9945
15.477,617.3,2.704E+01,0.9946
15.227,619.1,2.747E+01,0.9947
15.022,620.5,2.783E+01,0.9948
14.82,621.9,2.819E+01,0.9949
14.62,623.5,2.853E+01,0.9950
14.384,625.1,2.896E+01,0.9951
14.189,626.7,2.930E+01,0.9952
13.959,628.1,2.973E+01,0.9953
13.751,629.5,3.012E+01,0.9954
13.527,631.1,3.054E+01,0.9955
13.324,632.5,3.093E+01,0.9956
13.124,634.1,3.130E+01,0.9957
12.926,635.1,3.170E+01,0.9958
12.713,637.0,3.210E+01,0.9959
12.503,638.2,3.253E+01,0.9960
12.313,639.9,3.289E+01,0.9961
11.922,642.4,3.370E+01,0.9963
11.507,645.9,3.452E+01,0.9965
11.118,648.2,3.536E+01,0.9967
10.754,651.7,3.609E+01,0.9970
10.382,653.8,3.693E+01,0.9973
10.033,656.0,3.771E+01,0.9975
9.677,659.3,3.846E+01,0.9979
9.356,661.0,3.922E+01,0.9982
9.028,663.6,3.996E+01,0.9985
8.733,665.7,4.065E+01,0.9987
8.457,667.6,4.131E+01,0.9990
8.199,669.6,4.192E+01,0.9992
7.918,671.6,4.260E+01,0.9995
7.59,674.0,4.341E+01,0.9998
7.344,675.8,4.402E+01,1.0000
7.026,678.0,4.482E+01,1.0003
6.639,681.0,4.580E+01,1.0006
6.358,683.5,4.649E+01,1.0009
6.009,686.0,4.741E+01,1.0013
5.683,688.3,4.829E+01,1.0015
5.388,690.3,4.910E+01,1.0018
5.065,692.7,4.998E+01,1.0021
4.777,695.6,5.071E+01,1.0025
4.479,697.6,5.156E+01,1.0027
4.186,699.3,5.243E+01,1.0029
