"Altitude", "TempKelvin", "Pressure"
47.293,370.1,2.011E+00
47.238,370.6,2.022E+00
47.192,370.9,2.031E+00
47.143,371.1,2.043E+00
47.093,371.3,2.054E+00
47.047,371.6,2.064E+00
46.995,371.8,2.077E+00
46.944,372.4,2.086E+00
46.393,376.3,2.209E+00
46.341,376.8,2.220E+00
46.294,377.2,2.231E+00
46.241,377.6,2.242E+00
46.187,377.8,2.256E+00
46.135,378.2,2.268E+00
46.083,378.7,2.279E+00
46.032,378.9,2.292E+00
45.991,379.5,2.300E+00
45.943,379.8,2.312E+00
45.890,380.0,2.325E+00
45.840,380.4,2.337E+00
45.789,380.5,2.350E+00
45.739,380.8,2.363E+00
45.684,381.0,2.378E+00
45.623,381.1,2.394E+00
45.560,381.5,2.410E+00
45.497,381.8,2.427E+00
45.435,382.3,2.441E+00
45.390,382.7,2.453E+00
45.312,382.9,2.474E+00
45.219,383.3,2.499E+00
45.167,383.5,2.513E+00
45.036,384.1,2.549E+00
44.860,385.4,2.594E+00
44.666,386.8,2.646E+00
44.466,387.7,2.703E+00
44.262,388.4,2.764E+00
44.049,389.2,2.829E+00
43.836,390.2,2.893E+00
43.615,391.3,2.960E+00
43.399,392.4,3.028E+00
43.189,393.6,3.094E+00
42.990,394.9,3.156E+00
42.795,396.1,3.219E+00
42.600,397.5,3.281E+00
42.402,399.0,3.344E+00
42.199,400.3,3.412E+00
42.002,401.4,3.481E+00
41.812,402.5,3.548E+00
41.620,403.8,3.615E+00
41.433,405.2,3.680E+00
41.246,406.4,3.747E+00
41.051,407.6,3.820E+00
40.865,408.8,3.889E+00
40.677,410.0,3.961E+00
40.498,411.2,4.029E+00
40.323,412.5,4.096E+00
40.144,413.8,4.166E+00
39.971,414.9,4.235E+00
39.797,416.2,4.304E+00
39.717,416.8,4.336E+00
39.550,418.0,4.404E+00
39.383,418.8,4.478E+00
39.218,420.1,4.545E+00
39.049,421.2,4.618E+00
38.882,422.4,4.689E+00
38.720,423.3,4.763E+00
38.558,424.6,4.832E+00
38.401,425.9,4.901E+00
38.250,427.0,4.969E+00
38.084,427.7,5.051E+00
37.916,428.5,5.133E+00
37.759,429.2,5.211E+00
37.605,430.5,5.283E+00
37.448,431.7,5.357E+00
37.291,432.7,5.434E+00
37.133,433.9,5.513E+00
36.999,435.1,5.575E+00
36.865,436.4,5.639E+00
36.722,437.6,5.709E+00
36.579,438.7,5.780E+00
36.412,439.9,5.867E+00
36.256,441.0,5.949E+00
36.109,442.1,6.025E+00
35.966,443.3,6.100E+00
35.816,444.4,6.181E+00
35.675,445.5,6.257E+00
35.530,446.5,6.337E+00
35.397,447.5,6.410E+00
35.254,448.5,6.491E+00
35.116,449.4,6.570E+00
34.971,450.5,6.653E+00
34.831,451.7,6.731E+00
34.697,452.7,6.809E+00
34.563,453.7,6.887E+00
34.425,454.8,6.968E+00
34.288,455.9,7.047E+00
34.158,457.0,7.124E+00
34.027,458.1,7.201E+00
33.894,459.3,7.280E+00
33.757,460.3,7.365E+00
33.603,461.4,7.462E+00
33.459,462.5,7.552E+00
33.385,463.1,7.598E+00
33.240,464.2,7.690E+00
33.113,465.2,7.771E+00
32.994,466.3,7.845E+00
32.878,467.5,7.916E+00
32.742,468.4,8.007E+00
32.617,469.4,8.089E+00
32.491,470.5,8.170E+00
32.348,471.5,8.269E+00
32.218,472.7,8.353E+00
32.096,473.8,8.434E+00
31.979,474.7,8.514E+00
31.864,475.7,8.592E+00
31.750,476.7,8.671E+00
31.619,477.6,8.764E+00
31.499,478.8,8.845E+00
31.386,479.7,8.924E+00
31.268,480.9,9.005E+00
31.145,481.8,9.093E+00
31.021,482.8,9.184E+00
30.894,483.8,9.278E+00
30.779,484.7,9.362E+00
30.677,485.7,9.435E+00
30.562,486.8,9.516E+00
30.451,487.8,9.598E+00
30.335,488.8,9.685E+00
30.224,489.7,9.768E+00
30.115,490.7,9.850E+00
30.010,491.6,9.928E+00
29.900,492.8,1.001E+01
29.787,493.6,1.010E+01
29.677,494.5,1.018E+01
29.571,495.5,1.027E+01
29.456,496.5,1.036E+01
29.352,497.4,1.044E+01
29.248,498.2,1.052E+01
29.139,499.2,1.061E+01
29.032,500.1,1.069E+01
28.923,501.1,1.078E+01
28.808,501.5,1.089E+01
28.695,502.8,1.097E+01
28.582,503.8,1.107E+01
28.479,504.6,1.115E+01
28.371,505.5,1.124E+01
28.264,506.3,1.133E+01
28.176,507.5,1.140E+01
28.085,508.2,1.148E+01
27.976,509.0,1.157E+01
27.871,510.0,1.166E+01
27.756,510.8,1.177E+01
27.644,511.7,1.186E+01
27.547,512.7,1.195E+01
27.446,513.5,1.204E+01
27.329,514.5,1.214E+01
27.220,515.2,1.224E+01
27.110,516.0,1.235E+01
27.010,517.0,1.243E+01
26.918,517.8,1.252E+01
26.807,518.7,1.262E+01
26.695,519.6,1.272E+01
26.579,520.5,1.283E+01
26.464,521.3,1.295E+01
26.408,521.6,1.300E+01
26.297,522.5,1.311E+01
26.201,523.3,1.320E+01
26.104,524.2,1.329E+01
25.994,525.0,1.340E+01
25.896,525.8,1.350E+01
25.789,526.6,1.360E+01
25.698,527.5,1.369E+01
25.609,528.3,1.378E+01
25.505,529.1,1.388E+01
25.406,529.9,1.398E+01
25.312,530.8,1.407E+01
25.222,531.6,1.416E+01
25.138,532.4,1.424E+01
25.058,533.3,1.432E+01
24.960,534.0,1.442E+01
24.881,534.7,1.450E+01
24.803,535.6,1.458E+01
24.711,536.5,1.467E+01
24.608,537.2,1.478E+01
24.501,537.9,1.490E+01
24.392,538.7,1.501E+01
24.309,539.6,1.510E+01
24.218,540.2,1.520E+01
24.127,541.0,1.529E+01
24.045,541.8,1.538E+01
23.957,542.5,1.547E+01
23.868,543.4,1.557E+01
23.782,544.2,1.566E+01
23.688,544.9,1.577E+01
23.595,545.7,1.587E+01
23.506,546.4,1.597E+01
23.412,547.1,1.607E+01
23.321,547.9,1.617E+01
23.243,548.7,1.626E+01
23.153,549.4,1.636E+01
23.057,550.1,1.647E+01
22.965,550.8,1.658E+01
22.883,551.4,1.667E+01
22.801,552.1,1.677E+01
22.729,552.8,1.685E+01
22.631,553.5,1.697E+01
22.532,554.3,1.708E+01
22.439,555.1,1.719E+01
22.358,555.9,1.728E+01
22.281,556.5,1.737E+01
22.206,557.1,1.746E+01
22.125,557.8,1.756E+01
22.031,558.5,1.767E+01
21.943,559.1,1.778E+01
21.865,559.9,1.787E+01
21.797,560.7,1.795E+01
21.720,561.2,1.805E+01
21.658,561.9,1.812E+01
21.576,562.6,1.821E+01
21.484,563.4,1.833E+01
21.394,564.1,1.844E+01
21.298,564.7,1.857E+01
21.188,565.3,1.872E+01
21.107,566.1,1.882E+01
21.026,566.8,1.892E+01
20.949,567.4,1.901E+01
20.873,568.1,1.911E+01
20.794,568.9,1.921E+01
20.715,569.7,1.930E+01
20.629,570.3,1.942E+01
20.547,570.8,1.953E+01
20.467,571.5,1.963E+01
20.387,572.2,1.974E+01
20.310,572.7,1.984E+01
20.242,573.4,1.993E+01
20.156,574.1,2.004E+01
20.079,574.8,2.014E+01
19.993,575.5,2.025E+01
19.914,576.2,2.036E+01
19.833,575.9,2.051E+01
19.758,577.4,2.057E+01
19.676,578.0,2.069E+01
19.599,578.6,2.079E+01
19.562,578.9,2.084E+01
19.483,579.7,2.095E+01
19.408,580.1,2.106E+01
19.330,580.9,2.116E+01
19.259,581.3,2.127E+01
19.180,581.9,2.138E+01
19.104,582.5,2.149E+01
