"Altitude", "Pressure", "TempKelvin"
170,2.04E-12,141
166,3.51E-12,134
162,5.91E-12,135
158,1.05E-11,133
154,1.95E-11,132
150,3.76E-11,133
146,8.29E-11,136
142,2.01E-10,143
