Altitude,Pressure,TempKelvin
29.939,0.00039493,179.02
29.784,0.00040165,179.16
29.633,0.00040831,178.96
29.486,0.00041491,178.9
29.343,0.00042143,179.01
29.204,0.00042787,179.27
29.069,0.00043423,179.8
28.937,0.00044048,180.25
28.809,0.00044664,180.6
28.685,0.0004527,180.97
28.564,0.00045867,181.37
28.447,0.00046454,181.81
28.332,0.0004703,182.32
28.221,0.00047596,182.78
28.113,0.00048152,183.18
28.008,0.00048698,183.65
27.906,0.00049234,184.26
27.807,0.00049759,184.77
27.711,0.00050274,185.16
27.617,0.00050779,185.49
27.526,0.00051274,185.73
27.437,0.0005176,186.04
27.351,0.00052237,186.45
27.268,0.00052703,186.92
27.186,0.00053161,187.53
27.107,0.00053608,188.04
27.03,0.00054046,188.4
26.956,0.00054475,188.78
26.883,0.00054895,189.19
26.812,0.00055306,189.61
26.743,0.00055709,190.03
26.676,0.00056103,190.47
26.611,0.00056489,190.94
26.548,0.00056867,191.34
25.81,0.000583,187
25.63,0.000591,190
24.84,0.000646,193.5
22.53,0.00082,193.5
20.97,0.000958,193.7
19.14,0.00115,193.2
17.22,0.00137,193.8
15.24,0.00164,195
13.21,0.00199,197.4
12.17,0.00218,197.1
11.25,0.00239,196.2
9.1,0.00293,204
7.03,0.00352,207.3
5.04,0.00426,209.8
3.01,0.00516,221.1
2.51,0.00539,222.8
2.17,0.00556,224
2.01,0.005635,224.7
1.755,0.00575,225.6
1.51,0.005885,226.5
1.321,0.00598,227
1.01,0.00615,228.3
0.99,0.00613,228
0.72,0.0063,229.2
0.51,0.006427,230.1
0.356,0.00649,230.4
0.133,0.00663,231.5
0.01,0.006707,231.8
-0.49,0.006994,233.7
-0.99,0.007301,235.5
-1.49,0.00762,237.3
