t, sec	V, m/s	z, km	rho, kg m-3	  p, mb		T, K    -dz/dt, m/s
11650	4714.7	81.261	2.2655e-06	0.00056884	131.43	1020.0					
11651	4714.9	80.751	2.3837e-06	0.00061119	134.21	1018.0					
11651	4715.1	80.242	2.5208e-06	0.00065566	136.15	1736.0					
11652	4715.3	79.374	2.6760e-06	0.00070279	137.47	296.01					
11652	4715.5	79.226	2.8585e-06	0.00075291	137.87	1014.0					
11653	4715.6	78.719	3.0738e-06	0.00080658	137.35	1012.0					
11653	4715.8	78.213	3.3033e-06	0.00086426	136.95	1012.0					
11654	4715.9	77.707	3.5314e-06	0.00093603	137.26	1010.0					
11654	4716.0	77.202	3.8275e-06	0.00099231	135.70	1008.0					
11655	4716.1	76.698	4.2202e-06	0.0010647	132.06	1188.0					
11655	4716.2	76.104	4.5921e-06	0.0011442	130.42	825.99					
11656	4716.2	75.691	4.9272e-06	0.0012299	130.66	1004.0					
11656	4716.2	75.189	5.2828e-06	0.0013216	130.95	1002.0					
11657	4716.2	74.688	5.6601e-06	0.0014198	131.30	1002.0					
11657	4716.1	74.187	6.0631e-06	0.0015249	131.65	1000.0					
11658	4716.0	73.687	6.5128e-06	0.0016375	131.61	1000.0					
11658	4715.9	73.187	6.9171e-06	0.0017578	133.01	995.99					
11659	4715.8	72.689	7.2455e-06	0.0018845	136.14	996.00					
11659	4715.6	72.191	7.6153e-06	0.0020169	138.64	1014.0					
11660	4715.4	71.684	8.0375e-06	0.0021564	140.44	972.00					
11660	4715.2	71.198	8.4831e-06	0.0023035	142.13	991.99					
11661	4714.9	70.702	8.9513e-06	0.0024585	143.77	990.01					
11661	4714.6	70.207	9.4353e-06	0.0026218	145.45	988.01					
11662	4714.3	69.713	9.9409e-06	0.0027937	147.10	987.99					
11662	4713.9	69.219	1.0469e-05	0.0029745	148.72	986.01					
11663	4713.5	68.726	1.1028e-05	0.0031646	150.21	983.99					
11663	4713.1	68.234	1.1581e-05	0.0033645	152.06	982.01					
11664	4712.6	67.743	1.2103e-05	0.0035735	154.55	980.00					
11664	4712.0	67.253	1.2714e-05	0.0037921	156.12	980.00					
11665	4711.5	66.763	1.3426e-05	0.0040220	156.80	976.00					
11665	4710.8	66.275	1.4175e-05	0.0042645	157.48	976.00					
11666	4710.1	65.787	1.4918e-05	0.0045199	158.59	974.00					
11666	4709.4	65.300	1.5841e-05	0.0047891	158.25	972.00					
11667	4708.6	64.814	1.6986e-05	0.0050760	156.42	972.00					
11667	4707.6	64.328	1.8171e-05	0.0053833	155.07	968.00					
11668	4706.6	63.844	1.9376e-05	0.0057109	154.28	968.00					
11668	4705.5	63.360	2.0700e-05	0.0060597	153.23	964.00					
11669	4704.4	62.878	2.2201e-05	0.0064326	151.67	964.00					
11669	4703.1	62.396	2.3623e-05	0.0068308	151.36	962.00					
