Lower Atmosphere State Properties:  Sounder Probe

ALTITUDE,      PRESSURE,      TEMPERATURE,   DENSITY,  
(KM)           (bars)         (K)            (kg/m3)   

4.00           .7125E+02      701.0          .5294E+02 
3.00           .7606E+02      709.0          .5578E+02 
2.00           .8113E+02      717.0          .5875E+02 
1.00           .8648E+02      724.7          .6185E+02 
0.00           .9210E+02      732.4          .6509E+02 
-0.10          .9268E+02      733.0          .6544E+02 

Altitudes are relative to the sounder probe landing site at 6052.0 km. 
R0=6051.9 km, g0=8.8697 m/s2, mu=43.44.                                
                                   
Lower Atmosphere State Properties:  North Probe                                 

ALTITUDE,      PRESSURE,     TEMPERATURE,    PRESSURE,              
(KM)           (bars)        (K)             (kg/m3)   
                                   
65.13          .9046E-01      238.3          .1985E+00 
65.00          .9279E-01      238.5          .2034E+00 
64.00          .1121E+00      241.3          .2430E+00 
63.00          .1350E+00      245.9          .2872E+00 
62.00          .1621E+00      251.1          .3378E+00 
61.00          .1939E+00      257.7          .3935E+00 
60.00          .2310E+00      261.9          .4614E+00 
59.00          .2744E+00      267.5          .5366E+00 
58.00          .3245E+00      274.8          .6179E+00 
57.00          .3823E+00      281.6          .7105E+00 
56.00          .4482E+00      291.8          .8040E+00 
55.00          .5226E+00      301.7          .9067E+00 
54.00          .6065E+00      311.6          .1019E+01 
53.00          .7005E+00      332.1          .1139E+01 
52.00          .8054E+00      322.0          .1271E+01 
51.00          .9227E+00      340.2          .1421E+01 
50.00          .1054E+01      348.7          .1584E+01 
49.00          .1199E+01      357.8          .1758E+01 
48.00          .1361E+01      366.9          .1945E+01 
47.00          .1540E+01      373.4          .2164E+01 
46.00          .1739E+01      379.1          .2407E+01 
45.00          .1961E+01      386.1          .2665E+01 
44.00          .2206E+01      392.3          .2952E+01 
43.00          .2478E+01      398.6          .3264E+01 
42.00          .2778E+01      404.8          .3604E+01 
41.00          .3109E+01      410.9          .3975E+01 
40.00          .3474E+01      416.7          .4380E+01 
39.00          .3877E+01      422.2          .4825E+01 
38.00          .4319E+01      430.9          .5268E+01 
37.00          .4801E+01      438.8          .5752E+01 
36.00          .5327E+01      448.0          .6253E+01 
35.00          .5899E+01      456.2          .6802E+01 
34.00          .6521E+01      464.1          .7391E+01 
33.00          .7196E+01      473.1          .8003E+01 
32.00          .7927E+01      481.5          .8663E+01 
31.00          .8717E+01      490.2          .9360E+01 
30.00          .9571E+01      499.0          .1010E+02 
29.00          .1049E+02      507.6          .1088E+02 
28.00          .1149E+02      516.0          .1172E+02 
27.00          .1255E+02      524.9          .1259E+02 
26.00          .1370E+02      533.0          .1353E+02 
25.00          .1493E+02      541.6          .1452E+02 
24.00          .1626E+02      550.1          .1556E+02 
23.00          .1767E+02      558.5          .1666E+02 
22.00          .1919E+02      566.8          .1782E+02 
21.00          .2081E+02      574.6          .1906E+02 
20.00          .2255E+02      582.8          .2036E+02 
19.00          .2440E+02      591.0          .2172E+02 
18.00          .2638E+02      599.3          .2315E+02 
17.00          .2849E+02      607.4          .2465E+02 
16.00          .3073E+02      616.5          .2619E+02 
15.00          .3311E+02      624.0          .2786E+02 
14.00          .3565E+02      631.4          .2963E+02 
13.00          .3835E+02      639.6          .3145E+02 
12.00          .4121E+02      646.8          .3340E+02 
11.00          .4425E+02      654.1          .3544E+02 
10.00          .4748E+02      660.8          .3761E+02 
9.00           .5090E+02      668.8          .3979E+02 
8.00           .5452E+02      676.5          .4211E+02 
7.00           .5836E+02      682.9          .4461E+02 
6.00           .6242E+02      689.8          .4720E+02 
5.00           .6671E+02      697.0          .4988E+02 
4.00           .7125E+02      704.6          .5263E+02 
3.00           .7604E+02      711.6          .5554E+02 
2.00           .8109E+02      719.1          .5852E+02 
1.00           .8642E+02      726.3          .6166E+02 
0.00           .9203E+02      733.8          .6489E+02 
-0.65          .9583E+02      738.5          .6708E+02 

Altitudes are relative to the sounder probe landing site at 6052. km. 
R0=6051.4 km, g0=8.8712 m/s2, mu=43.44.                                
                                   
Lower Atmosphere State Properties:  Night Probe  
                               
ALTITUDE,      PRESSURE,      TEMPERATURE,   PRESSURE,                     
(KM)           (bars)         (K)            (kg/m3)   
                                   
61.28          .1650E+00      234.0          .3687E+00 
61.00          .1739E+00      236.3          .3850E+00 
60.00          .2103E+00      243.1          .4522E+00 
59.00          .2528E+00      251.2          .5263E+00 
58.00          .3018E+00      262.4          .6018E+00 
57.00          .3580E+00      271.6          .6897E+00 
56.00          .4220E+00      282.2          .7826E+00 
55.00          .4946E+00      292.6          .8846E+00 
54.00          .5765E+00      303.2          .9954E+00 
53.00          .6685E+00      313.7          .1116E+01 
52.00          .7715E+00      323.7          .1248E+01 
51.00          .8865E+00      334.0          .1391E+01 
50.00          .1014E+01      344.1          .1545E+01 
49.00          .1157E+01      350.3          .1731E+01 
48.00          .1316E+01      358.8          .1924E+01 
47.00          .1494E+01      367.0          .2134E+01 
46.00          .1690E+01      375.0          .2364E+01 
45.00          .1907E+01      382.0          .2620E+01 
44.00          .2149E+01      387.6          .2910E+01 
43.00          .2417E+01      393.3          .3226E+01 
42.00          .2714E+01      400.2          .3561E+01 
41.00          .3041E+01      407.2          .3922E+01 
40.00          .3401E+01      414.5          .4311E+01 
39.00          .3797E+01      421.7          .4731E+01 
38.00          .4230E+01      429.3          .5179E+01 
37.00          .4705E+01      437.3          .5656E+01 
36.00          .5223E+01      445.3          .6167E+01 
35.00          .5787E+01      453.0          .6719E+01 
34.00          .6402E+01      461.1          .7302E+01 
33.00          .7070E+01      468.8          .7934E+01 
32.00          .7795E+01      476.8          .8602E+01 
31.00          .8581E+01      485.0          .9310E+01 
30.00          .9431E+01      493.1          .1007E+02 
29.00          .1035E+02      500.9          .1088E+02 
28.00          .1134E+02      509.4          .1172E+02 
27.00          .1241E+02      517.7          .1262E+02 
26.00          .1356E+02      526.6          .1356E+02 
25.00          .1480E+02      535.4          .1455E+02 
24.00          .1612E+02      543.5          .1562E+02 
23.00          .1755E+02      552.3          .1673E+02 
22.00          .1907E+02      560.7          .1790E+02 
21.00          .2070E+02      568.8          .1915E+02 
20.00          .2245E+02      577.0          .2047E+02 
19.00          .2431E+02      585.5          .2184E+02 
18.00          .2630E+02      593.5          .2331E+02 
17.00          .2842E+02      602.0          .2483E+02 
16.00          .3068E+02      610.7          .2641E+02 
15.00          .3308E+02      618.7          .2809E+02 
14.00          .3564E+02      626.7          .2986E+02 
13.00          .3836E+02      634.8          .3171E+02 
12.00          .4124E+02      643.5          .3361E+02 
11.00          .4430E+02      651.5          .3564E+02 
10.00          .4754E+02      659.4          .3774E+02 
9.00           .5097E+02      667.3          .3995E+02 
8.00           .5461E+02      675.2          .4226E+02 
7.00           .5845E+02      683.0          .4468E+02 
6.00           .6252E+02      690.8          .4720E+02 
5.00           .6681E+02      698.5          .4983E+02 
4.00           .7134E+02      706.2          .5256E+02 
3.00           .7612E+02      713.9          .5540E+02 
2.00           .8116E+02      721.5          .5835E+02 
1.00           .8647E+02      729.1          .6142E+02 
0.98           .8658E+02      729.3          .6148E+02 

Altitudes are relative to the sounder probe landing site at 6052.0 km. 
R0=6053.0 km, g0=8.8685 m/s2, mu=43.44.                                
                                   
State Properties of the Middle Atmosphere of Venus: Pioneer Venus Sounder Probe                               

ALTITUDE, PRESSURE,      TEMPERATURE,   PRESSURE,                     
(KM)      (bars)         (K)            (kg/m3)   
                                   
116       .5199E-06      190.2          .1405E-05 
114       .8255E-06      190.2          .2236E-05 
112       .1318E-05      190.2          .3577E-05 
110       .2075E-05      194.4          .5520E-05 
108       .3273E-05      196.3          .8630E-05 
