Altitude,Pressure,TempKelvin
154.63,0.0007599,168.7
151.19,0.0008667,168
147.78,0.0009888,165.4
144.41,0.001128,164.6
141.08,0.001285,162.8
137.79,0.001467,157.5
134.56,0.001675,157.3
131.38,0.001909,156.2
128.26,0.002171,155.6
125.21,0.002466,153.3
122.23,0.002799,150.3
119.33,0.00317,149.8
116.51,0.003578,150.1
113.78,0.004023,150.2
111.15,0.0045,152.2
108.62,0.005007,153.2
106.19,0.005547,152.5
103.86,0.00612,153.7
101.64,0.006711,156.2
99.519,0.007319,158.5
97.501,0.007943,159.6
95.583,0.00858,160.6
93.762,0.009232,160.1
92.035,0.009898,159.7
90.399,0.01058,158.4
88.849,0.01127,157.8
87.383,0.01197,156.5
85.996,0.01267,154.6
84.685,0.01339,153.4
83.444,0.01411,151.5
82.271,0.01484,148.4
81.162,0.01558,147.3
80.112,0.01632,144
79.118,0.01707,142.1
78.177,0.01782,140
77.285,0.01857,139.3
76.439,0.01932,136.2
75.635,0.02008,133.3
74.871,0.02084,132.2
74.145,0.02158,133.3
73.452,0.02232,132.5
72.791,0.02305,132.9
72.158,0.02377,132.2
71.551,0.02449,133.1
70.968,0.02518,134.5
70.407,0.02587,133.8
69.866,0.02655,134.8
69.344,0.02723,134
68.838,0.02791,131.7
68.349,0.02858,131.5
67.874,0.02926,130.1
67.413,0.02994,128.8
66.965,0.03062,128.6
66.53,0.0313,126.4
66.105,0.03199,125.7
65.691,0.03268,125.9
65.286,0.03336,126.6
64.891,0.03404,126
64.504,0.03472,126.4
64.124,0.0354,126.6
63.751,0.03608,127.5
63.385,0.03675,129
63.025,0.03742,127.9
62.671,0.0381,127.8
62.321,0.03878,126.2
61.977,0.03947,126.3
61.637,0.04016,125.1
61.302,0.04087,124.9
60.971,0.04157,124.3
60.644,0.04229,123.8
60.321,0.04301,122.6
60.001,0.04374,122.6
59.685,0.04447,121.8
59.372,0.04522,120.2
59.062,0.04599,119.3
58.755,0.04676,118.5
58.45,0.04754,118.5
58.149,0.04833,117.6
57.849,0.04914,115.7
57.552,0.04996,115.1
57.258,0.0508,114.7
56.965,0.05164,114.6
56.674,0.0525,113.4
56.385,0.05338,110.8
56.098,0.05428,111.1
55.812,0.05519,110.3
55.528,0.05612,111.4
55.245,0.05705,111.4
54.962,0.05798,113.5
54.681,0.05892,112.5
54.4,0.05988,110.4
54.12,0.06088,108.8
53.84,0.06187,113.9
53.56,0.06286,114.1
53.28,0.06386,113.7
53.001,0.06488,115.2
52.72,0.06591,113.9
52.44,0.06697,113.8
52.159,0.06804,114.1
51.878,0.06914,111.9
51.596,0.07027,113.8
51.313,0.07142,111.2
51.03,0.07259,113.3
50.745,0.07377,114
50.46,0.07497,114.5
50.174,0.0762,113
49.887,0.07745,114.4
49.599,0.07872,113.8
49.31,0.08002,114.3
49.02,0.08134,114.6
48.729,0.0827,112.6
48.437,0.0841,112.8
48.143,0.08551,115.4
47.848,0.0869,119.1
47.551,0.08836,112.9
47.251,0.08989,113.3
46.949,0.09142,117
46.645,0.09301,111.3
46.338,0.09465,115.3
46.029,0.09631,115
45.718,0.09804,111
45.404,0.09983,112.6
45.088,0.1016,113.6
44.771,0.1035,119
44.451,0.1053,113.9
44.13,0.1073,111.9
43.806,0.1093,112.6
43.482,0.1113,111.8
43.156,0.1135,110.5
42.829,0.1156,113.4
42.5,0.1178,114.5
42.171,0.12,114.8
41.84,0.1223,114.6
41.509,0.1246,114.7
41.176,0.127,111.6
40.843,0.1294,112.2
40.509,0.1319,112
40.175,0.1345,113
39.841,0.1371,113.4
39.506,0.1397,114.1
39.172,0.1424,114.6
38.836,0.1452,108.7
38.502,0.148,116.1
38.167,0.1508,110.7
37.832,0.1537,117
37.498,0.1567,111.3
37.164,0.1598,108.1
36.83,0.163,111.5
36.498,0.1662,109.5
36.166,0.1694,109.7
35.835,0.1728,109.6
35.505,0.1762,108.7
35.176,0.1797,107.1
34.849,0.1832,110.6
34.522,0.1868,107.9
34.197,0.1904,112.7
33.873,0.194,111.9
33.55,0.1977,109
33.228,0.2014,111.7
32.907,0.2052,110.3
32.588,0.209,113.5
32.27,0.2129,109.2
31.954,0.2169,113.7
31.639,0.2208,115.8
31.325,0.2248,109.3
31.012,0.2289,114.3
30.701,0.233,112.5
30.391,0.2372,109.9
30.084,0.2415,110.4
29.777,0.2459,110.3
29.473,0.2503,109.5
29.171,0.2547,114.1
28.87,0.2592,111.8
28.57,0.2638,109
28.273,0.2684,112.5
27.977,0.2729,113.8
27.683,0.2776,112.7
27.391,0.2822,113.2
27.1,0.2869,116.7
26.811,0.2915,117.2
26.523,0.2962,116.3
26.236,0.3009,117.8
25.951,0.3056,120.4
25.667,0.3103,120.2
25.385,0.3151,119.7
25.104,0.3199,119.9
24.824,0.3247,120.2
